soil_temp,soil_phs,Plant_Type
20.9,5.9,Medicinal Plants
21.0,6.8,Warm-Season Fruits and Vegetables
11.0,6.6,Cool-Season Grains
11.0,4.8,Berries and Evergreens
20.0,7.2,Warm-Season Fruits and Vegetables
19.0,6.9,Warm-Season Fruits and Vegetables
19.0,7.3,Warm-Season Fruits and Vegetables
14.0,5.9,Leafy Greens and Root Vegetables
19.0,6.6,Warm-Season Fruits and Vegetables
20.0,6.2,Leafy Greens and Root Vegetables
27.0,7.1,Herbs and Aromatic Plants
19.0,6.5,Leafy Greens and Root Vegetables
27.0,6.3,Tropical and Wetland Plants
26.0,7.6,Herbs and Aromatic Plants
30.0,6.8,Tropical and Wetland Plants
29.0,7.0,Herbs and Aromatic Plants
32.0,8.1,Drought-Resistant Plants
27.0,8.7,Drought-Resistant Plants
30.0,6.1,Tropical and Wetland Plants
30.0,7.7,Herbs and Aromatic Plants
34.0,8.5,Drought-Resistant Plants
32.0,8.2,Drought-Resistant Plants
30.0,6.7,Tropical and Wetland Plants
31.0,7.5,Drought-Resistant Plants
32.0,8.0,Drought-Resistant Plants
32.0,8.4,Drought-Resistant Plants
24.0,5.6,Medicinal Plants
31.0,7.8,Drought-Resistant Plants
29.0,7.5,Herbs and Aromatic Plants
22.0,5.8,Medicinal Plants
25.0,7.8,Herbs and Aromatic Plants
25.0,7.7,Herbs and Aromatic Plants
25.0,9.0,Drought-Resistant Plants
25.0,6.2,Tropical and Wetland Plants
25.0,6.2,Tropical and Wetland Plants
25.0,5.5,Medicinal Plants
27.0,6.3,Tropical and Wetland Plants
27.0,8.4,Drought-Resistant Plants
27.0,8.2,Drought-Resistant Plants
27.0,7.9,Herbs and Aromatic Plants
27.0,7.1,Herbs and Aromatic Plants
22.0,6.3,Legumes and Nitrogen-Fixers
22.0,6.5,Warm-Season Fruits and Vegetables
20.0,6.4,Leafy Greens and Root Vegetables
20.0,8.0,Herbs and Aromatic Plants
20.0,7.5,Warm-Season Fruits and Vegetables
25.0,6.7,Warm-Season Fruits and Vegetables
25.0,6.5,Warm-Season Fruits and Vegetables
25.0,7.6,Herbs and Aromatic Plants
25.0,6.6,Warm-Season Fruits and Vegetables
25.0,7.6,Herbs and Aromatic Plants
25.0,8.1,Drought-Resistant Plants
25.0,7.7,Herbs and Aromatic Plants
25.0,5.5,Medicinal Plants
25.0,8.7,Drought-Resistant Plants
24.0,7.0,Warm-Season Fruits and Vegetables
24.0,6.4,Legumes and Nitrogen-Fixers
24.0,6.3,Legumes and Nitrogen-Fixers
24.0,6.7,Warm-Season Fruits and Vegetables
23.0,5.9,Medicinal Plants
23.0,6.0,Legumes and Nitrogen-Fixers
23.0,6.9,Warm-Season Fruits and Vegetables
23.0,6.7,Warm-Season Fruits and Vegetables
23.0,6.8,Warm-Season Fruits and Vegetables
23.0,6.4,Legumes and Nitrogen-Fixers
23.0,7.3,Warm-Season Fruits and Vegetables
16.0,5.5,Leafy Greens and Root Vegetables
23.0,6.8,Warm-Season Fruits and Vegetables
23.0,7.0,Warm-Season Fruits and Vegetables
19.0,6.3,Leafy Greens and Root Vegetables
20.0,6.6,Warm-Season Fruits and Vegetables
20.0,7.1,Warm-Season Fruits and Vegetables
21.0,5.5,Medicinal Plants
16.0,5.6,Leafy Greens and Root Vegetables
16.0,7.2,Stone Fruits
17.0,5.6,Leafy Greens and Root Vegetables
16.0,6.9,Legumes and Nitrogen-Fixers
16.0,5.5,Leafy Greens and Root Vegetables
17.0,6.5,Leafy Greens and Root Vegetables
17.0,6.8,Legumes and Nitrogen-Fixers
21.0,6.0,Legumes and Nitrogen-Fixers
21.0,7.7,Herbs and Aromatic Plants
24.0,6.4,Legumes and Nitrogen-Fixers
12.0,6.9,Cool-Season Grains
10.0,6.1,Leafy Greens and Root Vegetables
15.0,6.5,Leafy Greens and Root Vegetables
15.0,5.6,Leafy Greens and Root Vegetables
15.0,5.8,Leafy Greens and Root Vegetables
15.0,6.5,Leafy Greens and Root Vegetables
15.0,7.5,Stone Fruits
20.0,7.6,Herbs and Aromatic Plants
21.0,6.6,Warm-Season Fruits and Vegetables
17.0,6.0,Leafy Greens and Root Vegetables
17.0,6.0,Leafy Greens and Root Vegetables
18.0,7.0,Warm-Season Fruits and Vegetables
22.0,6.0,Legumes and Nitrogen-Fixers
25.0,7.8,Herbs and Aromatic Plants
26.0,5.8,Medicinal Plants
26.0,6.3,Tropical and Wetland Plants
20.0,8.0,Herbs and Aromatic Plants
15.0,5.4,Berries and Evergreens
20.0,7.1,Warm-Season Fruits and Vegetables
21.0,6.5,Warm-Season Fruits and Vegetables
25.0,8.8,Drought-Resistant Plants
25.0,7.0,Warm-Season Fruits and Vegetables
16.0,7.0,Legumes and Nitrogen-Fixers
21.0,7.0,Warm-Season Fruits and Vegetables
20.0,8.0,Herbs and Aromatic Plants
22.0,6.7,Warm-Season Fruits and Vegetables
16.0,6.0,Leafy Greens and Root Vegetables
24.0,6.9,Warm-Season Fruits and Vegetables
24.0,7.1,Warm-Season Fruits and Vegetables
19.0,5.5,Leafy Greens and Root Vegetables
25.0,5.9,Medicinal Plants
22.0,6.2,Legumes and Nitrogen-Fixers
22.0,6.2,Legumes and Nitrogen-Fixers
17.0,6.6,Legumes and Nitrogen-Fixers
17.0,7.3,Stone Fruits
17.0,6.3,Leafy Greens and Root Vegetables
25.0,8.8,Drought-Resistant Plants
20.0,6.4,Leafy Greens and Root Vegetables
25.0,5.8,Medicinal Plants
16.0,5.5,Leafy Greens and Root Vegetables
16.0,5.8,Leafy Greens and Root Vegetables
16.0,5.9,Leafy Greens and Root Vegetables
30.0,7.9,Herbs and Aromatic Plants
30.0,6.5,Tropical and Wetland Plants
30.0,6.7,Tropical and Wetland Plants
30.0,6.6,Tropical and Wetland Plants
30.0,7.0,Herbs and Aromatic Plants
23.0,5.8,Medicinal Plants
23.0,7.0,Warm-Season Fruits and Vegetables
24.0,5.5,Medicinal Plants
24.0,6.3,Legumes and Nitrogen-Fixers
24.0,7.3,Warm-Season Fruits and Vegetables
24.0,5.8,Medicinal Plants
28.0,6.7,Tropical and Wetland Plants
20.0,6.7,Warm-Season Fruits and Vegetables
17.0,6.0,Leafy Greens and Root Vegetables
21.0,7.6,Herbs and Aromatic Plants
28.0,8.1,Drought-Resistant Plants
28.0,5.6,Medicinal Plants
28.0,7.6,Herbs and Aromatic Plants
27.0,8.4,Drought-Resistant Plants
27.0,7.3,Herbs and Aromatic Plants
27.0,6.7,Tropical and Wetland Plants
27.0,9.0,Drought-Resistant Plants
30.0,7.0,Herbs and Aromatic Plants
30.0,8.4,Drought-Resistant Plants
30.0,8.5,Drought-Resistant Plants
30.0,7.6,Herbs and Aromatic Plants
30.0,8.2,Drought-Resistant Plants
29.0,6.9,Tropical and Wetland Plants
29.0,8.8,Drought-Resistant Plants
29.0,7.9,Herbs and Aromatic Plants
29.0,8.3,Drought-Resistant Plants
29.0,7.7,Herbs and Aromatic Plants
29.0,8.1,Drought-Resistant Plants
27.0,5.5,Medicinal Plants
27.0,6.5,Tropical and Wetland Plants
27.0,6.1,Tropical and Wetland Plants
27.0,5.7,Medicinal Plants
30.0,7.7,Herbs and Aromatic Plants
30.0,6.2,Tropical and Wetland Plants
27.0,6.3,Tropical and Wetland Plants
27.0,8.8,Drought-Resistant Plants
27.0,6.6,Tropical and Wetland Plants
27.0,7.5,Herbs and Aromatic Plants
25.0,6.2,Tropical and Wetland Plants
25.0,6.7,Warm-Season Fruits and Vegetables
25.0,6.9,Warm-Season Fruits and Vegetables
27.0,7.3,Herbs and Aromatic Plants
23.0,7.8,Herbs and Aromatic Plants
28.0,5.9,Medicinal Plants
27.0,6.4,Tropical and Wetland Plants
27.0,7.6,Herbs and Aromatic Plants
27.0,6.2,Tropical and Wetland Plants
24.0,6.8,Warm-Season Fruits and Vegetables
25.0,5.9,Medicinal Plants
25.0,5.9,Medicinal Plants
25.0,7.1,Warm-Season Fruits and Vegetables
23.0,7.6,Herbs and Aromatic Plants
26.0,5.9,Medicinal Plants
29.0,6.0,Tropical and Wetland Plants
29.0,8.1,Drought-Resistant Plants
29.0,8.4,Drought-Resistant Plants
29.0,6.2,Tropical and Wetland Plants
29.0,7.8,Herbs and Aromatic Plants
30.0,6.1,Tropical and Wetland Plants
29.0,6.1,Tropical and Wetland Plants
