soil_temp,soil_phs
20.9,5.9
23,4.9
22,8.7
21,6.8
19,4.9
11,6.6
13,8.6
15,7.9
11,8.8
7,6.3
11,4.8
20,7.2
17,8.8
19,6.9
17,5
19,7.3
14,5.9
18,5.4
19,6.6
16,4.9
16,5.3
22,8.9
20,6.2
23,8.1
28,5.2
27,7.1
19,6.5
19,8.5
27,6.3
26,7.6
32,4.7
30,6.8
29,7
31,5.7
32,8.1
25,4.5
27,8.7
30,6.1
30,7.7
37,8.4
37,8.4
36,5.9
36,6.5
37,5.5
38,8.2
36,4.7
37,6.8
24,4.6
34,6.5
34,8.5
33,6.4
32,8.2
32,5.4
31,7.1
33,7.4
30,6.7
30,5.2
31,7.5
32,8
32,6.5
32,6
32,8.4
24,5.6
31,7
32,5.9
31,7.8
32,6.6
31,6.7
29,7.5
21,4.5
20,4.5
22,5.8
25,7.8
25,7.7
25,9
25,6.2
25,6.2
25,5.5
27,6.3
27,8.4
27,8.2
27,7.9
27,7.1
22,4.7
22,6.3
22,5.2
22,5.1
22,6.5
22,8.9
20,6.4
20,5.4
20,8.2
20,8
20,7.5
25,4.6
25,6.7
25,6.5
25,7.6
25,5.2
25,6.6
25,7.6
25,8.1
25,7.7
25,5.5
25,8.7
24,7
24,6.4
24,8.9
24,6.3
24,6.7
21,8.3
21,4.7
21,5
21,4.8
21,5
23,5.9
23,6
23,6.9
23,6.7
23,6.8
23,5
23,6.4
23,7.3
16,8.1
16,5.5
20,8.3
20,9
23,6.8
23,7
19,6.3
19,4.9
20,6.6
20,7.1
21,5.5
21,8.7
16,5.6
16,7.2
16,8.6
16,4.8
17,7.9
17,5.6
16,6.9
16,5.5
17,5.3
17,6.5
17,6.8
17,7.6
21,6
21,5.1
21,7.7
22,4.5
23,8.2
19,5
24,6.4
24,8.9
24,8.6
12,6.9
10,6.1
10,8.8
15,6.5
15,5.6
15,7.7
15,8.9
15,5.8
15,8.2
15,6.5
15,7.5
16,5
16,8.7
20,7.6
21,6.6
17,7.9
17,6
17,6
16,5.1
16,8.3
18,7
21,8.3
22,6
23,8.9
25,7.8
26,5.8
26,6.3
23,9
20,8.4
20,8
15,5.4
14,7.6
20,7.1
11,7.7
18,8.4
18,7.9
21,6.5
25,8.8
25,7
24,4.8
16,7
21,7
20,8
20,8.6
22,6.7
16,6
24,6.9
24,7.1
20,8.1
19,5.5
17,9
17,8.4
17,5.2
25,5.3
25,5.9
18,8
18,4.8
18,8.2
22,6.2
23,5.1
20,5.2
22,6.2
22,4.5
22,5.1
17,6.6
17,7.3
17,6.3
25,5.2
25,8.8
20,6.4
20,5
20,8.1
25,4.7
25,5
25,5.8
16,5.5
16,5.8
16,5.9
16,8
30,7.9
30,6.5
30,6.7
30,6.6
30,7
23,5.8
23,7
24,8.4
24,5.5
16,8.4
14,7.4
14,8.8
24,6.3
24,7.3
24,5.8
28,6.7
28,4.6
30,5.2
20,6.7
17,4.8
17,6
18,5
18,8.1
21,7.6
28,5.1
28,8.1
28,5.6
28,7.6
27,8.4
27,7.3
27,6.7
27,9
27,5
30,7
30,8.4
30,4.6
30,8.5
30,7.6
30,8.2
29,6.9
29,4.5
29,8.8
29,7.9
29,8.3
29,5.3
29,7.7
29,8.1
29,5.3
27,5.5
27,6.5
27,6.1
27,5.7
27,4.7
30,7.7
30,6.2
30,5.9
31,6.9
31,5.1
31,6.8
27,6.3
27,8.8
27,6.6
27,7.5
27,4.9
27,5.2
25,6.2
25,6.7
25,6.9
27,7.3
27,5.2
23,7.8
23,8.6
28,5.9
27,6.4
27,5.4
27,7.6
27,6.2
24,6.8
25,5.9
25,5.9
25,7.1
23,7.6
26,5.9
29,6
29,8.1
29,8.4
29,6.2
29,7.8
30,6.1
29,6.1
28,4.6
24,7.8
24,6.7
30,4.9
30,6.8
27,5.4
27,5.4
27,8
30,6.4
30,5.2
30,5.6
30,5.7
31,5.4
34,5.4
34,8.5
34,4.7
29,5.7
28,6
28,7.2
28,5.1
28,6.7
28,7.7
28,7.8
28,8.8
31,6
31,7.6
32,7.3
32,5.5
34,6.9
34,4.9
34,7.7
34,7.7
34,5.6
34,5.5
33,8.7
33,6.7
33,8.6
34,6.3
34,4.5
33,5.2
34,8.1
33,8.5
34,8.6
34,8.1
35,6
35,5.8
35,6.1
32,7.4
32,8.4
35,4.9
35,8.4
31,8.6
31,7
32,7.8
32,6.2
36,6.3
36,7.1
34,5.7
34,6.4
34,7.4
34,8.6
34,5.8
34,5.2
34,6
34,6
33,7.4
33,8.1
33,5.3
36,8.1
36,4.6
36,8.8
35,8
36,4.7
37,5.7
37,7.7
36,5.3
36,7.3
37,4.8
37,6.1
37,8
37,6.7
35,8.7
35,7.1
32,8.6
32,4.5
32,7.8
31,8.4
31,6.3
31,6.7
35,7.5
35,5.5
38,8
38,7.7
38,5.1
37,6.7
37,8.9
