soil_temp,soil_phs,Plant_Type
20.9,5.9,Medicinal Plants
23.0,4.9,unknown
22.0,8.7,unknown
21.0,6.8,Warm-Season Fruits and Vegetables
19.0,4.9,unknown
11.0,6.6,Cool-Season Grains
13.0,8.6,unknown
15.0,7.9,unknown
11.0,8.8,unknown
7.0,6.3,unknown
11.0,4.8,Berries and Evergreens
20.0,7.2,Warm-Season Fruits and Vegetables
17.0,8.8,unknown
19.0,6.9,Warm-Season Fruits and Vegetables
17.0,5.0,unknown
19.0,7.3,Warm-Season Fruits and Vegetables
14.0,5.9,Leafy Greens and Root Vegetables
18.0,5.4,unknown
19.0,6.6,Warm-Season Fruits and Vegetables
16.0,4.9,unknown
16.0,5.3,unknown
22.0,8.9,unknown
20.0,6.2,Leafy Greens and Root Vegetables
23.0,8.1,unknown
28.0,5.2,unknown
27.0,7.1,Herbs and Aromatic Plants
19.0,6.5,Leafy Greens and Root Vegetables
19.0,8.5,unknown
27.0,6.3,Tropical and Wetland Plants
26.0,7.6,Herbs and Aromatic Plants
32.0,4.7,unknown
30.0,6.8,Tropical and Wetland Plants
29.0,7.0,Herbs and Aromatic Plants
31.0,5.7,unknown
32.0,8.1,Drought-Resistant Plants
25.0,4.5,unknown
27.0,8.7,Drought-Resistant Plants
30.0,6.1,Tropical and Wetland Plants
30.0,7.7,Herbs and Aromatic Plants
37.0,8.4,unknown
37.0,8.4,unknown
36.0,5.9,unknown
36.0,6.5,unknown
37.0,5.5,unknown
38.0,8.2,unknown
36.0,4.7,unknown
37.0,6.8,unknown
24.0,4.6,unknown
34.0,6.5,unknown
34.0,8.5,Drought-Resistant Plants
33.0,6.4,unknown
32.0,8.2,Drought-Resistant Plants
32.0,5.4,unknown
31.0,7.1,unknown
33.0,7.4,unknown
30.0,6.7,Tropical and Wetland Plants
30.0,5.2,unknown
31.0,7.5,Drought-Resistant Plants
32.0,8.0,Drought-Resistant Plants
32.0,6.5,unknown
32.0,6.0,unknown
32.0,8.4,Drought-Resistant Plants
24.0,5.6,Medicinal Plants
31.0,7.0,unknown
32.0,5.9,unknown
31.0,7.8,Drought-Resistant Plants
32.0,6.6,unknown
31.0,6.7,unknown
29.0,7.5,Herbs and Aromatic Plants
21.0,4.5,unknown
20.0,4.5,unknown
22.0,5.8,Medicinal Plants
25.0,7.8,Herbs and Aromatic Plants
25.0,7.7,Herbs and Aromatic Plants
25.0,9.0,Drought-Resistant Plants
25.0,6.2,Tropical and Wetland Plants
25.0,6.2,Tropical and Wetland Plants
25.0,5.5,Medicinal Plants
27.0,6.3,Tropical and Wetland Plants
27.0,8.4,Drought-Resistant Plants
27.0,8.2,Drought-Resistant Plants
27.0,7.9,Herbs and Aromatic Plants
27.0,7.1,Herbs and Aromatic Plants
22.0,4.7,unknown
22.0,6.3,Legumes and Nitrogen-Fixers
22.0,5.2,unknown
22.0,5.1,unknown
22.0,6.5,Warm-Season Fruits and Vegetables
22.0,8.9,unknown
20.0,6.4,Leafy Greens and Root Vegetables
20.0,5.4,unknown
20.0,8.2,unknown
20.0,8.0,Herbs and Aromatic Plants
20.0,7.5,Warm-Season Fruits and Vegetables
25.0,4.6,unknown
25.0,6.7,Warm-Season Fruits and Vegetables
25.0,6.5,Warm-Season Fruits and Vegetables
25.0,7.6,Herbs and Aromatic Plants
25.0,5.2,unknown
25.0,6.6,Warm-Season Fruits and Vegetables
25.0,7.6,Herbs and Aromatic Plants
25.0,8.1,Drought-Resistant Plants
25.0,7.7,Herbs and Aromatic Plants
25.0,5.5,Medicinal Plants
25.0,8.7,Drought-Resistant Plants
24.0,7.0,Warm-Season Fruits and Vegetables
24.0,6.4,Legumes and Nitrogen-Fixers
24.0,8.9,unknown
24.0,6.3,Legumes and Nitrogen-Fixers
24.0,6.7,Warm-Season Fruits and Vegetables
21.0,8.3,unknown
21.0,4.7,unknown
21.0,5.0,unknown
21.0,4.8,unknown
21.0,5.0,unknown
23.0,5.9,Medicinal Plants
23.0,6.0,Legumes and Nitrogen-Fixers
23.0,6.9,Warm-Season Fruits and Vegetables
23.0,6.7,Warm-Season Fruits and Vegetables
23.0,6.8,Warm-Season Fruits and Vegetables
23.0,5.0,unknown
23.0,6.4,Legumes and Nitrogen-Fixers
23.0,7.3,Warm-Season Fruits and Vegetables
16.0,8.1,unknown
16.0,5.5,Leafy Greens and Root Vegetables
20.0,8.3,unknown
20.0,9.0,unknown
23.0,6.8,Warm-Season Fruits and Vegetables
23.0,7.0,Warm-Season Fruits and Vegetables
19.0,6.3,Leafy Greens and Root Vegetables
19.0,4.9,unknown
20.0,6.6,Warm-Season Fruits and Vegetables
20.0,7.1,Warm-Season Fruits and Vegetables
